name,label
0.png,0
1.png,1
2.png,1
3.png,1
4.png,0
5.png,1
6.png,0
7.png,0
8.png,1
9.png,0
10.png,0
11.png,1
12.png,1
13.png,1
14.png,0
15.png,0
16.png,0
17.png,1
18.png,1
19.png,1
20.png,1
21.png,0
22.png,1
23.png,0
24.png,0
25.png,1
26.png,1
27.png,1
28.png,0
29.png,0
30.png,1
31.png,1
32.png,1
33.png,0
34.png,0
35.png,1
36.png,0
37.png,0
38.png,0
39.png,0
40.png,1
41.png,0
42.png,0
43.png,1
44.png,1
45.png,1
46.png,0
47.png,1
48.png,0
49.png,0
50.png,0
51.png,1
52.png,1
53.png,1
54.png,0
55.png,0
56.png,0
57.png,1
58.png,0
59.png,0
60.png,1
61.png,1
62.png,0
63.png,1
64.png,1
65.png,1
66.png,0
67.png,1
68.png,0
69.png,0
70.png,0
71.png,0
72.png,1
73.png,1
74.png,0
75.png,0
76.png,0
77.png,1
78.png,0
79.png,1
80.png,0
81.png,1
82.png,1
83.png,0
84.png,0
85.png,0
86.png,0
87.png,1
88.png,1
89.png,0
90.png,0
91.png,1
92.png,1
93.png,0
94.png,0
95.png,0
96.png,1
97.png,0
98.png,0
99.png,1
100.png,1
101.png,1
102.png,0
103.png,1
104.png,1
105.png,1
106.png,0
107.png,1
108.png,0
109.png,1
110.png,1
111.png,1
112.png,0
113.png,1
114.png,1
115.png,1
116.png,1
117.png,0
118.png,1
119.png,1
120.png,0
121.png,0
122.png,1
123.png,1
124.png,1
125.png,0
126.png,1
127.png,1
128.png,0
129.png,1
130.png,1
131.png,0
132.png,0
133.png,1
134.png,0
135.png,0
136.png,1
137.png,0
138.png,1
139.png,0
140.png,1
141.png,0
142.png,1
143.png,1
144.png,1
145.png,0
146.png,1
147.png,0
148.png,1
149.png,0
150.png,1
151.png,1
152.png,0
153.png,1
154.png,0
155.png,1
156.png,1
157.png,0
158.png,0
159.png,0
160.png,0
161.png,0
162.png,1
163.png,1
164.png,1
165.png,0
166.png,1
167.png,1
168.png,1
169.png,1
170.png,1
171.png,1
172.png,0
173.png,1
174.png,0
175.png,0
176.png,1
177.png,1
178.png,0
179.png,0
180.png,0
181.png,0
182.png,0
183.png,0
184.png,1
185.png,1
186.png,1
187.png,1
188.png,0
189.png,1
190.png,1
191.png,1
192.png,0
193.png,1
194.png,0
195.png,0
196.png,1
197.png,1
198.png,0
199.png,0
200.png,1
201.png,0
202.png,1
203.png,0
204.png,0
205.png,1
206.png,1
207.png,1
208.png,1
209.png,1
210.png,0
211.png,0
212.png,0
213.png,1
214.png,0
215.png,1
216.png,0
217.png,0
218.png,1
219.png,0
220.png,1
221.png,1
222.png,0
223.png,0
224.png,1
225.png,1
226.png,0
227.png,1
228.png,0
229.png,1
230.png,1
231.png,1
232.png,1
233.png,0
234.png,0
235.png,0
236.png,0
237.png,1
238.png,1
239.png,1
240.png,0
241.png,1
242.png,0
243.png,1
244.png,1
245.png,1
246.png,0
247.png,1
248.png,1
249.png,0
250.png,1
251.png,0
252.png,1
253.png,1
254.png,0
255.png,1
256.png,1
257.png,0
258.png,0
259.png,0
260.png,1
261.png,1
262.png,1
263.png,1
264.png,1
265.png,1
266.png,1
267.png,0
268.png,0
269.png,0
270.png,0
271.png,0
272.png,1
273.png,0
274.png,0
275.png,0
276.png,1
277.png,1
278.png,1
279.png,1
280.png,1
281.png,0
282.png,1
283.png,0
284.png,1
285.png,1
286.png,0
287.png,1
288.png,0
289.png,1
290.png,0
291.png,0
292.png,0
293.png,1
294.png,1
295.png,1
296.png,1
297.png,1
298.png,1
299.png,0
300.png,1
301.png,0
302.png,1
303.png,1
304.png,1
305.png,0
306.png,0
307.png,1
308.png,0
309.png,1
310.png,0
311.png,0
312.png,0
313.png,1
314.png,1
315.png,1
316.png,0
317.png,1
318.png,1
319.png,1
320.png,1
321.png,0
322.png,1
323.png,1
324.png,1
325.png,1
326.png,0
327.png,1
328.png,0
329.png,0
330.png,0
331.png,0
332.png,0
333.png,0
334.png,1
335.png,1
336.png,0
337.png,1
338.png,0
339.png,1
340.png,1
341.png,0
342.png,0
343.png,0
344.png,1
345.png,0
346.png,0
347.png,1
348.png,0
349.png,0
350.png,1
351.png,0
352.png,0
353.png,0
354.png,1
355.png,0
356.png,0
357.png,0
358.png,1
359.png,1
360.png,1
361.png,0
362.png,1
363.png,1
364.png,1
365.png,1
366.png,1
367.png,0
368.png,0
369.png,1
370.png,1
371.png,0
372.png,1
373.png,1
374.png,0
375.png,1
376.png,1
377.png,1
378.png,0
379.png,1
380.png,1
381.png,0
382.png,0
383.png,1
384.png,1
385.png,0
386.png,1
387.png,1
388.png,1
389.png,1
390.png,0
391.png,1
392.png,0
393.png,0
394.png,1
395.png,1
396.png,1
397.png,0
398.png,0
399.png,1
400.png,0
401.png,0
402.png,1
403.png,1
404.png,0
405.png,0
406.png,0
407.png,1
408.png,0
409.png,0
410.png,0
411.png,1
412.png,0
413.png,0
414.png,1
415.png,1
416.png,1
417.png,0
418.png,1
419.png,1
420.png,0
421.png,0
422.png,0
423.png,0
424.png,1
425.png,0
426.png,0
427.png,0
428.png,0
429.png,0
430.png,0
431.png,1
432.png,1
433.png,1
434.png,0
435.png,1
436.png,0
437.png,1
438.png,0
439.png,1
440.png,1
441.png,1
442.png,1
443.png,0
444.png,1
445.png,0
446.png,1
447.png,1
448.png,1
449.png,1
450.png,0
451.png,1
452.png,0
453.png,0
454.png,1
455.png,1
456.png,1
457.png,1
458.png,0
459.png,0
460.png,0
461.png,1
462.png,1
463.png,1
464.png,1
465.png,1
466.png,0
467.png,1
468.png,0
469.png,1
470.png,0
471.png,1
472.png,0
473.png,0
474.png,1
475.png,1
476.png,0
477.png,0
478.png,1
479.png,1
480.png,1
481.png,1
482.png,0
483.png,1
484.png,0
485.png,1
486.png,1
487.png,0
488.png,1
489.png,1
490.png,1
491.png,1
492.png,1
493.png,1
494.png,1
495.png,0
496.png,0
497.png,1
498.png,1
499.png,1
500.png,1
501.png,1
502.png,0
503.png,0
504.png,0
505.png,1
506.png,0
507.png,1
508.png,1
509.png,1
510.png,0
511.png,1
512.png,0
513.png,1
514.png,0
515.png,0
516.png,1
517.png,0
518.png,0
519.png,0
520.png,0
521.png,1
522.png,1
523.png,1
524.png,1
525.png,0
526.png,1
527.png,1
528.png,0
529.png,1
530.png,0
531.png,1
532.png,1
533.png,0
534.png,1
535.png,1
536.png,0
537.png,0
538.png,1
539.png,1
540.png,0
541.png,1
542.png,0
543.png,1
544.png,0
545.png,1
546.png,1
547.png,0
548.png,0
549.png,0
550.png,1
551.png,0
552.png,1
553.png,1
554.png,1
555.png,1
556.png,0
557.png,0
558.png,0
559.png,1
560.png,0
561.png,0
562.png,1
563.png,1
564.png,0
565.png,1
566.png,0
567.png,0
568.png,1
569.png,0
570.png,1
571.png,1
572.png,0
573.png,1
574.png,1
575.png,1
576.png,1
577.png,0
578.png,0
579.png,1
580.png,1
581.png,0
582.png,1
583.png,0
584.png,1
585.png,1
586.png,0
587.png,0
588.png,1
589.png,1
590.png,0
591.png,0
592.png,0
593.png,0
594.png,0
595.png,0
596.png,1
597.png,1
598.png,0
599.png,1
600.png,0
601.png,0
602.png,0
603.png,1
604.png,0
605.png,1
606.png,1
607.png,1
608.png,0
609.png,1
610.png,0
611.png,0
612.png,1
613.png,0
614.png,1
615.png,1
616.png,1
617.png,0
618.png,1
619.png,0
620.png,0
621.png,0
622.png,1
623.png,1
624.png,1
625.png,0
626.png,1
627.png,0
628.png,0
629.png,0
630.png,0
631.png,0
632.png,1
633.png,0
634.png,1
635.png,1
636.png,1
637.png,0
638.png,1
639.png,0
640.png,0
641.png,0
642.png,0
643.png,1
644.png,1
645.png,1
646.png,1
647.png,1
648.png,1
649.png,1
650.png,1
651.png,1
652.png,0
653.png,0
654.png,1
655.png,1
656.png,0
657.png,0
658.png,0
659.png,0
660.png,0
661.png,1
662.png,0
663.png,1
664.png,1
665.png,0
666.png,1
667.png,1
668.png,1
669.png,0
670.png,1
671.png,0
672.png,0
673.png,1
674.png,0
675.png,0
676.png,1
677.png,0
678.png,0
679.png,0
680.png,1
681.png,0
682.png,0
683.png,0
684.png,1
685.png,0
686.png,1
687.png,0
688.png,0
689.png,1
690.png,0
691.png,1
692.png,0
693.png,0
694.png,0
695.png,1
696.png,1
697.png,1
698.png,0
699.png,1
700.png,1
701.png,1
702.png,1
703.png,1
704.png,1
705.png,0
706.png,1
707.png,1
708.png,1
709.png,0
710.png,1
711.png,0
712.png,1
713.png,1
714.png,0
715.png,0
716.png,0
717.png,0
718.png,1
719.png,1
720.png,1
721.png,1
722.png,1
723.png,1
724.png,1
725.png,1
726.png,1
727.png,1
728.png,0
729.png,0
730.png,1
731.png,1
732.png,1
733.png,0
734.png,1
735.png,1
736.png,0
737.png,0
738.png,0
739.png,1
740.png,1
741.png,0
742.png,0
743.png,1
744.png,1
745.png,1
746.png,1
747.png,1
748.png,0
749.png,1
750.png,0
751.png,1
752.png,0
753.png,1
754.png,1
755.png,0
756.png,0
757.png,1
758.png,1
759.png,1
760.png,0
761.png,1
762.png,1
763.png,1
764.png,1
765.png,0
766.png,0
767.png,1
768.png,0
769.png,0
770.png,1
771.png,0
772.png,0
773.png,0
774.png,0
775.png,1
776.png,0
777.png,0
778.png,1
779.png,1
780.png,0
781.png,1
782.png,1
783.png,1
784.png,0
785.png,0
786.png,0
787.png,0
788.png,1
789.png,1
790.png,0
791.png,1
792.png,0
793.png,0
794.png,1
795.png,1
796.png,1
797.png,1
798.png,1
799.png,0
800.png,1
801.png,1
802.png,0
803.png,0
804.png,1
805.png,0
806.png,0
807.png,1
808.png,1
809.png,0
810.png,1
811.png,0
812.png,1
813.png,1
814.png,0
815.png,0
816.png,0
817.png,0
818.png,1
819.png,0
820.png,0
821.png,1
822.png,1
823.png,0
824.png,1
825.png,0
826.png,0
827.png,1
828.png,0
829.png,1
830.png,0
831.png,0
832.png,1
833.png,0
834.png,0
835.png,1
836.png,0
837.png,1
838.png,0
839.png,0
840.png,0
841.png,0
842.png,1
843.png,0
844.png,0
845.png,0
846.png,0
847.png,1
848.png,1
849.png,0
850.png,1
851.png,0
852.png,1
853.png,1
854.png,0
855.png,0
856.png,1
857.png,0
858.png,1
859.png,1
860.png,1
861.png,1
862.png,0
863.png,0
864.png,0
865.png,1
866.png,1
867.png,1
868.png,1
869.png,0
870.png,0
871.png,1
872.png,0
873.png,1
874.png,1
875.png,0
876.png,0
877.png,1
878.png,1
879.png,1
880.png,1
881.png,0
882.png,1
883.png,0
884.png,1
885.png,1
886.png,0
887.png,1
888.png,1
889.png,0
890.png,0
891.png,1
892.png,1
893.png,1
894.png,1
895.png,0
896.png,1
897.png,0
898.png,1
899.png,1
900.png,0
901.png,1
902.png,0
903.png,0
904.png,1
905.png,1
906.png,1
907.png,1
908.png,1
909.png,1
910.png,0
911.png,0
912.png,1
913.png,0
914.png,0
915.png,1
916.png,1
917.png,0
918.png,1
919.png,0
920.png,1
921.png,0
922.png,0
923.png,1
924.png,0
925.png,0
926.png,0
927.png,1
928.png,0
929.png,1
930.png,0
931.png,0
932.png,0
933.png,1
934.png,1
935.png,1
936.png,1
937.png,0
938.png,1
939.png,1
940.png,0
941.png,0
942.png,0
943.png,0
944.png,0
945.png,1
946.png,0
947.png,0
948.png,1
949.png,1
950.png,0
951.png,1
952.png,1
953.png,1
954.png,0
955.png,1
956.png,1
957.png,1
958.png,0
959.png,1
960.png,1
961.png,1
962.png,1
963.png,1
964.png,1
965.png,1
966.png,1
967.png,0
968.png,1
969.png,0
970.png,1
971.png,0
972.png,1
973.png,1
974.png,1
975.png,0
976.png,1
977.png,0
978.png,0
979.png,0
980.png,0
981.png,1
982.png,1
983.png,0
984.png,1
985.png,1
986.png,1
987.png,0
988.png,1
989.png,0
990.png,0
991.png,0
992.png,1
993.png,0
994.png,0
995.png,1
996.png,0
997.png,0
998.png,1
999.png,0
1000.png,1
1001.png,1
1002.png,0
1003.png,1
1004.png,1
1005.png,1
1006.png,1
1007.png,0
1008.png,1
1009.png,0
1010.png,0
1011.png,1
1012.png,1
1013.png,0
1014.png,1
1015.png,0
1016.png,1
1017.png,0
1018.png,1
1019.png,1
1020.png,0
1021.png,1
1022.png,0
1023.png,1
1024.png,0
1025.png,0
1026.png,0
1027.png,1
1028.png,0
1029.png,0
1030.png,1
1031.png,1
1032.png,1
1033.png,1
1034.png,1
1035.png,1
1036.png,1
1037.png,0
1038.png,1
1039.png,1
1040.png,0
1041.png,1
1042.png,0
1043.png,1
1044.png,1
1045.png,0
1046.png,0
1047.png,0
1048.png,0
1049.png,0
1050.png,1
1051.png,1
1052.png,0
1053.png,1
1054.png,0
1055.png,1
1056.png,0
1057.png,1
1058.png,1
1059.png,1
1060.png,0
1061.png,1
1062.png,1
1063.png,1
1064.png,0
1065.png,0
1066.png,1
1067.png,1
1068.png,1
1069.png,0
1070.png,1
1071.png,0
1072.png,0
1073.png,0
1074.png,1
1075.png,1
1076.png,1
1077.png,0
1078.png,1
1079.png,0
1080.png,1
1081.png,1
1082.png,1
1083.png,1
1084.png,1
1085.png,1
1086.png,0
1087.png,0
1088.png,0
1089.png,1
1090.png,1
1091.png,1
1092.png,1
1093.png,0
1094.png,0
1095.png,1
1096.png,0
1097.png,1
1098.png,1
1099.png,0
1100.png,0
1101.png,0
1102.png,1
1103.png,1
1104.png,0
1105.png,0
1106.png,1
1107.png,1
1108.png,0
1109.png,1
1110.png,0
1111.png,1
1112.png,1
1113.png,0
1114.png,0
1115.png,0
1116.png,0
1117.png,0
1118.png,1
1119.png,0
1120.png,0
1121.png,0
1122.png,1
1123.png,1
1124.png,0
1125.png,1
1126.png,1
1127.png,1
1128.png,1
1129.png,1
1130.png,1
1131.png,1
1132.png,1
1133.png,1
1134.png,1
1135.png,0
1136.png,1
1137.png,1
1138.png,0
1139.png,0
1140.png,1
1141.png,1
1142.png,1
1143.png,1
1144.png,0
1145.png,1
1146.png,1
1147.png,1
1148.png,0
1149.png,1
1150.png,1
1151.png,0
1152.png,1
1153.png,1
1154.png,1
1155.png,0
1156.png,0
1157.png,0
1158.png,0
1159.png,1
1160.png,1
1161.png,1
1162.png,1
1163.png,1
1164.png,0
1165.png,1
1166.png,1
1167.png,0
1168.png,1
1169.png,1
1170.png,0
1171.png,0
1172.png,0
1173.png,0
1174.png,1
1175.png,1
1176.png,1
1177.png,1
1178.png,0
1179.png,0
1180.png,1
1181.png,1
1182.png,0
1183.png,1
1184.png,0
1185.png,1
1186.png,0
1187.png,1
1188.png,1
1189.png,0
1190.png,1
1191.png,1
1192.png,1
1193.png,0
1194.png,0
1195.png,0
1196.png,0
1197.png,0
1198.png,0
1199.png,1
1200.png,1
1201.png,0
1202.png,0
1203.png,1
1204.png,0
1205.png,1
1206.png,1
1207.png,0
1208.png,1
1209.png,1
1210.png,0
1211.png,0
1212.png,0
1213.png,1
1214.png,0
1215.png,1
1216.png,1
1217.png,0
1218.png,1
1219.png,1
1220.png,0
1221.png,0
1222.png,1
1223.png,0
1224.png,1
1225.png,0
1226.png,1
1227.png,0
1228.png,0
1229.png,0
1230.png,1
1231.png,1
1232.png,0
1233.png,0
1234.png,1
1235.png,1
1236.png,0
1237.png,1
1238.png,1
1239.png,1
1240.png,0
1241.png,1
1242.png,0
1243.png,0
1244.png,1
1245.png,1
1246.png,0
1247.png,1
1248.png,0
1249.png,1
1250.png,1
1251.png,0
1252.png,0
1253.png,1
1254.png,0
1255.png,1
1256.png,0
1257.png,1
1258.png,1
1259.png,1
1260.png,1
1261.png,0
1262.png,0
1263.png,1
1264.png,1
1265.png,1
1266.png,1
1267.png,1
1268.png,1
1269.png,1
1270.png,1
1271.png,0
1272.png,1
1273.png,1
1274.png,0
1275.png,1
1276.png,0
1277.png,1
1278.png,0
1279.png,0
1280.png,1
1281.png,1
1282.png,1
1283.png,1
1284.png,0
1285.png,0
1286.png,1
1287.png,0
1288.png,0
1289.png,1
1290.png,1
1291.png,1
1292.png,1
1293.png,0
1294.png,1
1295.png,0
1296.png,1
1297.png,1
1298.png,0
1299.png,1
1300.png,0
1301.png,1
1302.png,1
1303.png,0
1304.png,1
1305.png,0
1306.png,0
1307.png,0
1308.png,1
1309.png,1
1310.png,1
1311.png,1
1312.png,1
1313.png,0
1314.png,0
1315.png,1
1316.png,1
1317.png,1
1318.png,0
1319.png,1
1320.png,1
1321.png,1
1322.png,1
1323.png,0
1324.png,1
1325.png,1
1326.png,1
1327.png,0
1328.png,0
1329.png,1
1330.png,0
1331.png,1
1332.png,1
1333.png,0
1334.png,0
1335.png,0
1336.png,0
1337.png,1
1338.png,1
1339.png,1
1340.png,0
1341.png,1
1342.png,1
1343.png,0
1344.png,0
1345.png,0
1346.png,0
1347.png,0
1348.png,0
1349.png,1
1350.png,1
1351.png,0
1352.png,0
1353.png,0
1354.png,1
1355.png,0
1356.png,1
1357.png,1
1358.png,1
1359.png,1
1360.png,0
1361.png,1
1362.png,0
1363.png,1
1364.png,1
1365.png,0
1366.png,1
1367.png,0
1368.png,0
1369.png,1
1370.png,0
1371.png,1
1372.png,0
1373.png,1
1374.png,0
1375.png,1
1376.png,1
1377.png,1
1378.png,1
1379.png,0
1380.png,1
1381.png,0
1382.png,0
1383.png,1
1384.png,0
1385.png,0
1386.png,0
1387.png,0
1388.png,1
1389.png,0
1390.png,0
1391.png,1
1392.png,0
1393.png,1
1394.png,1
1395.png,1
1396.png,1
1397.png,1
1398.png,1
1399.png,1
1400.png,1
1401.png,1
1402.png,1
1403.png,0
1404.png,1
1405.png,1
1406.png,1
1407.png,0
1408.png,0
1409.png,0
1410.png,0
1411.png,1
1412.png,0
1413.png,1
1414.png,1
1415.png,1
1416.png,1
1417.png,0
1418.png,1
1419.png,0
1420.png,1
1421.png,1
1422.png,1
1423.png,0
1424.png,0
1425.png,0
1426.png,1
1427.png,1
1428.png,0
1429.png,0
1430.png,0
1431.png,0
1432.png,0
1433.png,0
1434.png,1
1435.png,0
1436.png,0
1437.png,0
1438.png,1
1439.png,1
1440.png,0
1441.png,0
1442.png,1
1443.png,0
1444.png,0
1445.png,0
1446.png,0
1447.png,1
1448.png,0
1449.png,0
1450.png,0
1451.png,0
1452.png,1
1453.png,1
1454.png,1
1455.png,0
1456.png,1
1457.png,0
1458.png,1
1459.png,1
1460.png,1
1461.png,1
1462.png,1
1463.png,1
1464.png,0
1465.png,0
1466.png,0
1467.png,1
1468.png,1
1469.png,0
1470.png,1
1471.png,0
1472.png,1
1473.png,1
1474.png,1
1475.png,0
1476.png,0
1477.png,0
1478.png,0
1479.png,1
1480.png,0
1481.png,1
1482.png,0
1483.png,0
1484.png,1
1485.png,0
1486.png,0
1487.png,0
1488.png,1
1489.png,0
1490.png,1
1491.png,1
1492.png,0
1493.png,0
1494.png,1
1495.png,0
1496.png,1
1497.png,1
1498.png,1
1499.png,0
1500.png,0
1501.png,1
1502.png,0
1503.png,0
1504.png,0
1505.png,0
1506.png,0
1507.png,1
1508.png,1
1509.png,0
1510.png,1
1511.png,0
1512.png,0
1513.png,0
1514.png,0
1515.png,1
1516.png,0
1517.png,0
1518.png,0
1519.png,0
1520.png,1
1521.png,1
1522.png,1
1523.png,0
1524.png,1
1525.png,0
1526.png,1
1527.png,1
1528.png,1
1529.png,1
1530.png,0
1531.png,1
1532.png,1
1533.png,1
1534.png,1
1535.png,0
1536.png,1
1537.png,1
1538.png,0
1539.png,0
1540.png,0
1541.png,0
1542.png,1
1543.png,0
1544.png,0
1545.png,1
1546.png,0
1547.png,1
1548.png,0
1549.png,1
1550.png,0
1551.png,0
1552.png,0
1553.png,1
1554.png,1
1555.png,0
1556.png,0
1557.png,1
1558.png,0
1559.png,1
1560.png,1
1561.png,1
1562.png,1
1563.png,1
1564.png,0
1565.png,0
1566.png,1
1567.png,0
1568.png,1
1569.png,1
1570.png,1
1571.png,1
1572.png,1
1573.png,0
1574.png,1
1575.png,0
1576.png,1
1577.png,0
1578.png,0
1579.png,1
1580.png,0
1581.png,1
1582.png,0
1583.png,0
1584.png,0
1585.png,1
1586.png,0
1587.png,1
1588.png,0
1589.png,0
1590.png,0
1591.png,0
1592.png,1
1593.png,1
1594.png,1
1595.png,1
1596.png,0
1597.png,1
1598.png,0
1599.png,1
1600.png,0
1601.png,0
1602.png,1
1603.png,1
1604.png,1
1605.png,0
1606.png,1
1607.png,0
1608.png,0
1609.png,1
1610.png,0
1611.png,0
1612.png,1
1613.png,0
1614.png,0
1615.png,0
1616.png,1
1617.png,1
1618.png,0
1619.png,1
1620.png,1
1621.png,1
1622.png,1
1623.png,1
1624.png,0
1625.png,0
1626.png,1
1627.png,1
1628.png,1
1629.png,1
1630.png,1
1631.png,1
1632.png,1
1633.png,1
1634.png,0
1635.png,0
1636.png,0
1637.png,1
1638.png,1
1639.png,1
1640.png,0
1641.png,0
1642.png,0
1643.png,0
1644.png,1
1645.png,0
1646.png,0
1647.png,1
1648.png,0
1649.png,0
1650.png,1
1651.png,0
1652.png,1
1653.png,1
1654.png,0
1655.png,0
1656.png,0
1657.png,1
1658.png,0
1659.png,1
1660.png,1
1661.png,1
1662.png,1
1663.png,0
1664.png,0
1665.png,0
1666.png,0
1667.png,1
1668.png,1
1669.png,1
1670.png,1
1671.png,0
1672.png,0
1673.png,1
1674.png,1
1675.png,1
1676.png,0
1677.png,0
1678.png,0
1679.png,0
1680.png,0
1681.png,1
1682.png,1
1683.png,1
1684.png,0
1685.png,1
1686.png,0
1687.png,1
1688.png,0
1689.png,1
1690.png,1
1691.png,1
1692.png,0
1693.png,0
1694.png,1
1695.png,1
1696.png,0
1697.png,0
1698.png,1
1699.png,0
1700.png,0
1701.png,0
1702.png,1
1703.png,0
1704.png,1
1705.png,1
1706.png,0
1707.png,1
1708.png,1
1709.png,0
1710.png,1
1711.png,0
1712.png,1
1713.png,1
1714.png,1
1715.png,0
1716.png,1
1717.png,1
1718.png,1
1719.png,1
1720.png,0
1721.png,1
1722.png,1
1723.png,0
1724.png,1
1725.png,1
1726.png,1
1727.png,0
1728.png,1
1729.png,0
1730.png,1
1731.png,0
1732.png,1
1733.png,1
1734.png,1
1735.png,1
1736.png,0
1737.png,0
1738.png,1
1739.png,0
1740.png,1
1741.png,0
1742.png,0
1743.png,1
1744.png,1
1745.png,1
1746.png,0
1747.png,0
1748.png,1
1749.png,0
1750.png,1
1751.png,0
1752.png,1
1753.png,1
1754.png,0
1755.png,0
1756.png,0
1757.png,1
1758.png,0
1759.png,0
1760.png,0
1761.png,1
1762.png,0
1763.png,1
1764.png,1
1765.png,1
1766.png,1
1767.png,1
1768.png,0
1769.png,0
1770.png,0
1771.png,0
1772.png,1
1773.png,1
1774.png,0
1775.png,0
1776.png,0
1777.png,0
1778.png,1
1779.png,1
1780.png,0
1781.png,1
1782.png,0
1783.png,1
1784.png,1
1785.png,0
1786.png,0
1787.png,0
1788.png,0
1789.png,1
1790.png,1
1791.png,0
1792.png,0
1793.png,1
1794.png,0
1795.png,0
1796.png,0
1797.png,0
1798.png,1
1799.png,1
1800.png,0
1801.png,1
1802.png,1
1803.png,0
1804.png,1
1805.png,1
1806.png,1
1807.png,1
1808.png,0
1809.png,1
1810.png,0
1811.png,0
1812.png,0
1813.png,0
1814.png,0
1815.png,0
1816.png,1
1817.png,0
1818.png,1
1819.png,0
1820.png,0
1821.png,0
1822.png,0
1823.png,0
1824.png,0
1825.png,1
1826.png,1
1827.png,1
1828.png,1
1829.png,0
1830.png,1
1831.png,0
1832.png,0
1833.png,0
1834.png,0
1835.png,0
1836.png,0
1837.png,1
1838.png,1
1839.png,1
1840.png,0
1841.png,1
1842.png,1
1843.png,1
1844.png,0
1845.png,0
1846.png,1
1847.png,0
1848.png,1
